Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,Shohei Ohtani (fixture-660271),Shohei Ohtani,fixture-660271,C/1B/2B/3B/SS/OF,5600,LAD@NYY 07/01/2026 07:05PM ET,LAD,0
2B/OF,Mookie Betts (fixture-605141),Mookie Betts,fixture-605141,C/1B/2B/3B/SS/OF,5200,LAD@NYY 07/01/2026 07:05PM ET,LAD,0
1B,Freddie Freeman (fixture-518692),Freddie Freeman,fixture-518692,C/1B/2B/3B/SS/OF,4700,LAD@NYY 07/01/2026 07:05PM ET,LAD,0
C,Will Smith (fixture-669257),Will Smith,fixture-669257,C/1B/2B/3B/SS/OF,3400,LAD@NYY 07/01/2026 07:05PM ET,LAD,0
2B/SS,Gavin Lux (fixture-666158),Gavin Lux,fixture-666158,C/1B/2B/3B/SS/OF,2800,LAD@NYY 07/01/2026 07:05PM ET,LAD,0
OF,Aaron Judge (fixture-592450),Aaron Judge,fixture-592450,C/1B/2B/3B/SS/OF,5600,LAD@NYY 07/01/2026 07:05PM ET,NYY,0
OF,Juan Soto (fixture-665742),Juan Soto,fixture-665742,C/1B/2B/3B/SS/OF,5400,LAD@NYY 07/01/2026 07:05PM ET,NYY,0
OF,Giancarlo Stanton (fixture-650402),Giancarlo Stanton,fixture-650402,C/1B/2B/3B/SS/OF,3200,LAD@NYY 07/01/2026 07:05PM ET,NYY,0
SS,Anthony Volpe (fixture-683011),Anthony Volpe,fixture-683011,C/1B/2B/3B/SS/OF,2900,LAD@NYY 07/01/2026 07:05PM ET,NYY,0
1B/3B,DJ LeMahieu (fixture-518934),DJ LeMahieu,fixture-518934,C/1B/2B/3B/SS/OF,2300,LAD@NYY 07/01/2026 07:05PM ET,NYY,0
P,Gerrit Cole (fixture-543037),Gerrit Cole,fixture-543037,P,8300,LAD@NYY 07/01/2026 07:05PM ET,NYY,0
P,Tyler Glasnow (fixture-607192),Tyler Glasnow,fixture-607192,P,7900,LAD@NYY 07/01/2026 07:05PM ET,LAD,0
1B,Matt Olson (fixture-621566),Matt Olson,fixture-621566,C/1B/2B/3B/SS/OF,4800,ATL@HOU 07/01/2026 08:05PM ET,ATL,0
3B,Austin Riley (fixture-621020),Austin Riley,fixture-621020,C/1B/2B/3B/SS/OF,3900,ATL@HOU 07/01/2026 08:05PM ET,ATL,0
2B,Ozzie Albies (fixture-645277),Ozzie Albies,fixture-645277,C/1B/2B/3B/SS/OF,4300,ATL@HOU 07/01/2026 08:05PM ET,ATL,0
OF,Ronald Acuna Jr. (fixture-663586),Ronald Acuna Jr.,fixture-663586,C/1B/2B/3B/SS/OF,5500,ATL@HOU 07/01/2026 08:05PM ET,ATL,0
2B,Jose Altuve (fixture-514888),Jose Altuve,fixture-514888,C/1B/2B/3B/SS/OF,3600,ATL@HOU 07/01/2026 08:05PM ET,HOU,0
OF,Yordan Alvarez (fixture-670541),Yordan Alvarez,fixture-670541,C/1B/2B/3B/SS/OF,4400,ATL@HOU 07/01/2026 08:05PM ET,HOU,0
OF,Kyle Tucker (fixture-665161),Kyle Tucker,fixture-665161,C/1B/2B/3B/SS/OF,4300,ATL@HOU 07/01/2026 08:05PM ET,HOU,0
P,Framber Valdez (fixture-664285),Framber Valdez,fixture-664285,P,7600,ATL@HOU 07/01/2026 08:05PM ET,HOU,0
P,Spencer Strider (fixture-675911),Spencer Strider,fixture-675911,P,8800,ATL@HOU 07/01/2026 08:05PM ET,ATL,0
